Rule,N,apertus8b_zeroshot,gc31_lightning_zeroshot,gemma3_12b_zeroshot,gemma3_1b_zeroshot,gemma3_4b_zeroshot,qwen25_7b_zeroshot,qwen35_08b_zeroshot,qwen35_4b_zeroshot,qwen35_9b_zeroshot,v4_apertus_8b,v4_apertus_8b_lorugec,v4_clean_only_qwen25_7b,v4_clean_only_qwen35_08b,v4_gemma3_12b,v4_gemma3_12b_lorugec,v4_gemma3_1b,v4_gemma3_1b_lorugec,v4_gemma3_4b,v4_gemma3_4b_lorugec,v4_lorugec_only_apertus_8b,v4_lorugec_only_gemma3_12b,v4_lorugec_only_gemma3_1b,v4_lorugec_only_gemma3_4b,v4_lorugec_only_qwen25_7b,v4_lorugec_only_qwen35_08b,v4_lorugec_only_qwen35_4b,v4_lorugec_only_qwen35_9b,v4_qwen25_7b,v4_qwen25_7b_lorugec,v4_qwen35_08b,v4_qwen35_08b_lorugec,v4_qwen35_4b,v4_qwen35_4b_lorugec,v4_qwen35_9b,v4_qwen35_9b_lorugec
"Правописание ""не"" с прилагательными",15,40.0,26.7,46.7,0.0,33.3,53.3,0.0,6.7,20.0,80.0,86.7,0.0,0.0,73.3,73.3,20.0,26.7,53.3,53.3,66.7,66.7,0.0,40.0,26.7,13.3,33.3,46.7,53.3,66.7,33.3,33.3,46.7,60.0,46.7,66.7
"Правописание ""оттого""",18,38.9,27.8,27.8,22.2,38.9,16.7,11.1,33.3,38.9,77.8,88.9,0.0,0.0,100.0,94.4,94.4,66.7,72.2,77.8,22.2,50.0,22.2,33.3,44.4,16.7,27.8,50.0,88.9,100.0,77.8,88.9,83.3,94.4,88.9,83.3
"Правописание ""причем"" и ""притом""",13,23.1,23.1,23.1,15.4,15.4,7.7,7.7,7.7,15.4,69.2,69.2,7.7,7.7,38.5,61.5,30.8,38.5,38.5,53.8,30.8,30.8,15.4,0.0,7.7,7.7,7.7,15.4,46.2,69.2,23.1,46.2,38.5,53.8,53.8,61.5
"Правописание ""также""",10,40.0,40.0,30.0,20.0,30.0,30.0,20.0,20.0,40.0,90.0,80.0,20.0,20.0,90.0,80.0,80.0,50.0,90.0,60.0,20.0,30.0,10.0,10.0,30.0,20.0,0.0,20.0,100.0,90.0,80.0,30.0,90.0,80.0,50.0,60.0
"Правописание ""чтобы""",13,46.2,53.8,76.9,7.7,38.5,53.8,15.4,30.8,46.2,100.0,92.3,15.4,15.4,92.3,76.9,76.9,76.9,92.3,61.5,61.5,69.2,23.1,38.5,30.8,15.4,7.7,53.8,100.0,76.9,92.3,76.9,84.6,84.6,92.3,76.9
Правописание гласных в суффиксах причастий,10,40.0,50.0,60.0,20.0,50.0,30.0,20.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,50.0,50.0,40.0,50.0,50.0,70.0,60.0,40.0,70.0,20.0,30.0,50.0,80.0,30.0,40.0,40.0,40.0,60.0,60.0,50.0,80.0
Правописание приставок пре- и при-,10,10.0,50.0,20.0,10.0,10.0,20.0,10.0,30.0,20.0,40.0,50.0,10.0,10.0,40.0,30.0,20.0,20.0,20.0,10.0,40.0,30.0,10.0,20.0,20.0,0.0,10.0,10.0,30.0,20.0,20.0,20.0,20.0,20.0,20.0,30.0
"Правописание разделительных ""ъ"" и ""ь""",15,13.3,26.7,26.7,0.0,13.3,13.3,6.7,20.0,33.3,40.0,46.7,13.3,13.3,46.7,46.7,6.7,20.0,26.7,20.0,20.0,33.3,0.0,20.0,6.7,13.3,26.7,26.7,33.3,40.0,6.7,6.7,20.0,33.3,40.0,40.0
Правописание сложных прилагательных,10,70.0,90.0,80.0,20.0,40.0,60.0,0.0,60.0,50.0,70.0,90.0,0.0,0.0,60.0,90.0,10.0,40.0,60.0,70.0,60.0,80.0,30.0,20.0,60.0,30.0,60.0,60.0,40.0,80.0,40.0,50.0,60.0,70.0,60.0,60.0
"Правописание суффиксов -еньк, -оньк в существительных.",12,16.7,16.7,33.3,8.3,16.7,16.7,25.0,25.0,8.3,33.3,58.3,25.0,25.0,66.7,58.3,25.0,25.0,25.0,33.3,41.7,25.0,8.3,8.3,8.3,0.0,8.3,25.0,50.0,41.7,33.3,33.3,58.3,83.3,33.3,41.7
"Правописание суффиксов -иц, -ец в существительных среднего рода",9,0.0,33.3,0.0,0.0,0.0,0.0,33.3,0.0,0.0,44.4,55.6,33.3,33.3,11.1,11.1,22.2,11.1,0.0,11.1,22.2,0.0,0.0,0.0,22.2,11.1,0.0,0.0,22.2,33.3,11.1,22.2,22.2,11.1,11.1,22.2
"Правописание суффиксов −ек, −ик",9,77.8,44.4,44.4,0.0,22.2,22.2,22.2,55.6,44.4,77.8,77.8,33.3,33.3,44.4,55.6,33.3,33.3,66.7,55.6,66.7,44.4,22.2,22.2,44.4,33.3,11.1,11.1,55.6,55.6,22.2,44.4,33.3,44.4,33.3,44.4
"Правописание суффиксов −инск, −енск в прилагательных",10,30.0,50.0,60.0,20.0,30.0,40.0,30.0,40.0,40.0,60.0,50.0,30.0,30.0,50.0,50.0,40.0,30.0,40.0,40.0,40.0,60.0,20.0,20.0,30.0,30.0,20.0,40.0,50.0,60.0,40.0,40.0,60.0,60.0,50.0,50.0
"Правописание частицы ""не"" с причастиями",14,21.4,28.6,35.7,0.0,7.1,14.3,0.0,14.3,21.4,50.0,57.1,0.0,0.0,35.7,50.0,42.9,28.6,35.7,35.7,35.7,50.0,7.1,21.4,14.3,7.1,28.6,21.4,35.7,42.9,7.1,21.4,50.0,50.0,28.6,50.0
"Правописание частицы ""не"" с существительными",20,20.0,25.0,25.0,15.0,15.0,25.0,15.0,25.0,35.0,55.0,55.0,10.0,10.0,40.0,45.0,30.0,25.0,25.0,20.0,35.0,40.0,20.0,10.0,15.0,10.0,20.0,35.0,25.0,40.0,15.0,20.0,50.0,70.0,40.0,50.0
Правописание частицы -таки,13,7.7,7.7,23.1,0.0,15.4,15.4,0.0,7.7,38.5,53.8,46.2,0.0,0.0,38.5,69.2,30.8,15.4,30.8,46.2,23.1,53.8,0.0,46.2,15.4,0.0,30.8,30.8,30.8,53.8,15.4,38.5,46.2,76.9,30.8,76.9
Правописание числительного пол-,11,9.1,0.0,9.1,0.0,0.0,18.2,0.0,27.3,9.1,18.2,18.2,0.0,0.0,18.2,27.3,9.1,18.2,9.1,9.1,9.1,18.2,0.0,0.0,0.0,0.0,9.1,9.1,18.2,27.3,0.0,18.2,0.0,27.3,18.2,27.3
Пунктуация в цельных по смыслу (неразложимых) сочетаниях,18,27.8,22.2,50.0,11.1,27.8,22.2,5.6,22.2,27.8,33.3,61.1,0.0,0.0,55.6,66.7,27.8,61.1,33.3,38.9,22.2,55.6,11.1,16.7,33.3,22.2,16.7,66.7,33.3,55.6,16.7,55.6,44.4,77.8,33.3,61.1
Пунктуация при вводных словах и конструкциях,19,31.6,57.9,52.6,5.3,31.6,42.1,5.3,57.9,47.4,57.9,52.6,5.3,5.3,73.7,47.4,36.8,10.5,52.6,36.8,31.6,42.1,5.3,26.3,15.8,10.5,10.5,15.8,36.8,31.6,31.6,21.1,52.6,47.4,68.4,42.1
Пунктуация при повторяющихся союзах,9,33.3,22.2,33.3,0.0,22.2,22.2,0.0,22.2,22.2,55.6,22.2,0.0,0.0,55.6,44.4,0.0,0.0,44.4,33.3,0.0,33.3,0.0,33.3,11.1,0.0,11.1,0.0,22.2,33.3,22.2,22.2,11.1,22.2,22.2,22.2
Склонение количественных числительных,10,40.0,50.0,40.0,0.0,30.0,30.0,0.0,20.0,40.0,40.0,30.0,0.0,0.0,40.0,40.0,0.0,10.0,20.0,20.0,40.0,40.0,0.0,30.0,20.0,0.0,30.0,50.0,20.0,30.0,0.0,0.0,10.0,30.0,40.0,30.0
"Склонение числительных ""полтора"", ""полторы"", ""полтораста""",10,30.0,40.0,10.0,10.0,10.0,30.0,10.0,10.0,20.0,30.0,60.0,0.0,0.0,20.0,20.0,20.0,10.0,10.0,30.0,30.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,30.0,40.0,10.0,10.0,30.0,40.0,30.0,20.0
"Слитное, раздельное и дефисное написание наречий",16,37.5,37.5,50.0,6.2,25.0,18.8,6.2,50.0,43.8,56.2,62.5,0.0,0.0,56.2,62.5,6.2,6.2,43.8,62.5,37.5,50.0,0.0,31.2,37.5,12.5,37.5,50.0,43.8,56.2,25.0,12.5,43.8,50.0,62.5,62.5
Согласование причастий с определяемым словом,16,37.5,18.8,37.5,18.8,31.2,31.2,12.5,31.2,37.5,25.0,37.5,0.0,0.0,31.2,31.2,12.5,18.8,25.0,37.5,31.2,50.0,18.8,25.0,31.2,6.2,25.0,37.5,31.2,37.5,6.2,18.8,31.2,31.2,18.8,43.8
Тире в бессоюзных предложениях,15,0.0,0.0,6.7,0.0,0.0,0.0,0.0,6.7,13.3,0.0,66.7,0.0,0.0,13.3,60.0,0.0,33.3,6.7,26.7,0.0,33.3,0.0,0.0,60.0,26.7,40.0,40.0,66.7,80.0,6.7,33.3,0.0,80.0,0.0,73.3
Тире между подлежащим и сказуемым,16,12.5,18.8,31.2,0.0,18.8,6.2,6.2,37.5,43.8,6.2,31.2,6.2,6.2,18.8,50.0,18.8,31.2,25.0,37.5,6.2,43.8,6.2,25.0,6.2,12.5,18.8,25.0,31.2,37.5,25.0,31.2,12.5,43.8,25.0,43.8
Тире при приложении,15,26.7,40.0,26.7,0.0,13.3,26.7,20.0,40.0,33.3,20.0,33.3,20.0,20.0,33.3,46.7,20.0,26.7,26.7,26.7,26.7,33.3,6.7,13.3,46.7,20.0,40.0,66.7,33.3,40.0,20.0,53.3,33.3,66.7,26.7,40.0
